locale,audio_id,provider,model,num_segments,processing_time_s,WER,CER,MER,WIL,WIP,S,S_%,D,D_%,I,I_%,SemanticSim,LevenshteinSim,Language,Cohort,Sub_Cohort,Duration_mins,Duration_Cat,Gender_Type,Region,Age_Group,Overlap,Gap,Conv_Density,S1_State,S2_State,Total_Gap_s,Total_Overlap_s
vi-VN,HieuTu_09_1510.wav,gemini_flash,gemini-2.5-flash,305,117.624,21.05%,0.1131,0.2057,0.3482,0.6518,633,17.7,34,1,84,2.4,0.8897,0.8892,Vietnamese,Vietnamese,Vietnamese,15.17,Medium,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,5.5,0
vi-VN,HieuTu_09_1510.wav,gemini_pro,gemini-2.5-pro,180,215.823,21.03%,0.1143,0.2051,0.3459,0.6541,625,17.5,35,1,90,2.5,0.896,0.8882,Vietnamese,Vietnamese,Vietnamese,15.17,Medium,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,5.5,0
pt-BR,Latam_POR_BR_024,microsoft,ConversationTranscriber,119,441.129,20.98%,0.1159,0.2055,0.307,0.693,353,11.7,215,7.1,63,2.1,0.9068,0.8841,Portuguese,Portuguese,Brazilian Portuguese,15.05,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Medium,Medium,Rio de Janeiro,Rio de Janeiro,88,0
vi-VN,HieuTu_09_1510.wav,soniox,stt-async-v4,1,54.484,20.91%,0.1128,0.204,0.346,0.654,631,17.7,26,0.7,89,2.5,0.8896,0.8899,Vietnamese,Vietnamese,Vietnamese,15.17,Medium,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,5.5,0
pt-BR,Latam_POR_BR_217,openai_gpt4o_mini,gpt-4o-mini-transcribe,412,76.017,20.89%,0.1424,0.2064,0.256,0.744,159,5.2,445,14.5,37,1.2,0.9536,0.8576,Portuguese,Portuguese,Brazilian Portuguese,15.17,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Low,High,Rio de Janeiro,Florianópolis,56,0
pt-BR,Latam_POR_BR_217,openai_gpt4o,gpt-4o-transcribe,412,70.38,20.82%,0.1426,0.2056,0.255,0.745,158,5.1,442,14.4,39,1.3,0.9536,0.8574,Portuguese,Portuguese,Brazilian Portuguese,15.17,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Low,High,Rio de Janeiro,Florianópolis,56,0
vi-VN,ThaoLe_04_4903.wav,speechmatics,speechmatics-batch,97,274.969,20.76%,0.127,0.2,0.3158,0.6842,1626,14,352,3,441,3.8,0.9671,0.8745,Vietnamese,Vietnamese,Vietnamese,49.05,Long,Female,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,45.77,0
pt-BR,Latam_POR_BR_102,gladia,gladia-v2,317,25.978,20.69%,0.1119,0.2036,0.2754,0.7246,119,7.8,171,11.3,24,1.6,0.9735,0.8881,Portuguese,Portuguese,Brazilian Portuguese,10.17,Medium,Unknown,são paulo,Unknown,No Overlap,Medium,Medium,são paulo,Guarulhos,66,0
es-VE,Latam_SPA_VE_038,openai_gpt4o,gpt-4o-transcribe,344,48.933,20.66%,0.1306,0.204,0.2807,0.7193,214,8.5,276,10.9,33,1.3,0.7522,0.8694,Spanish,Spanish,Venezuelan Spanish,12.95,Medium,Unknown,Caracas,Unknown,No Overlap,Medium,Medium,Caracas,Turmero,91,0
es-VE,Latam_SPA_VE_038,openai_gpt4o_mini,gpt-4o-mini-transcribe,344,57.037,20.66%,0.1306,0.204,0.2807,0.7193,214,8.5,276,10.9,33,1.3,0.7522,0.8694,Spanish,Spanish,Venezuelan Spanish,12.95,Medium,Unknown,Caracas,Unknown,No Overlap,Medium,Medium,Caracas,Turmero,91,0
pt-BR,Latam_POR_BR_275,openai_gpt4o,gpt-4o-transcribe,344,52.873,20.65%,0.1453,0.2054,0.2454,0.7546,90,4.1,347,16,11,0.5,0.966,0.8547,Portuguese,Portuguese,Brazilian Portuguese,15.22,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,High,Medium,Rio de Janeiro,Lauro de freitas,186,0
pt-BR,Latam_POR_BR_275,openai_gpt4o_mini,gpt-4o-mini-transcribe,344,52.327,20.65%,0.1453,0.2054,0.2454,0.7546,90,4.1,347,16,11,0.5,0.966,0.8547,Portuguese,Portuguese,Brazilian Portuguese,15.22,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,High,Medium,Rio de Janeiro,Lauro de freitas,186,0
es-VE,Latam_SPA_VE_038,aws_transcribe,aws-transcribe,78,76.312,20.62%,0.1597,0.2042,0.2683,0.7317,175,6.9,322,12.7,25,1,0.8402,0.8403,Spanish,Spanish,Venezuelan Spanish,12.95,Medium,Unknown,Caracas,Unknown,No Overlap,Medium,Medium,Caracas,Turmero,91,0
pt-BR,Latam_POR_BR_024,soniox,stt-async-v4,127,42.018,20.55%,0.1199,0.2026,0.2717,0.7283,226,7.5,349,11.6,43,1.4,0.9226,0.8801,Portuguese,Portuguese,Brazilian Portuguese,15.05,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Medium,Medium,Rio de Janeiro,Rio de Janeiro,88,0
pt-BR,Latam_POR_BR_311,gladia,gladia-v2,270,28.632,20.53%,0.1251,0.2021,0.2728,0.7272,93,7.7,136,11.3,19,1.6,0.9731,0.8749,Portuguese,Portuguese,Brazilian Portuguese,10.17,Medium,Unknown,Jacareí,Unknown,No Overlap,Low,Low,Jacareí,Jacareí,30,0
pt-BR,Latam_POR_BR_193,assemblyai,universal,98,36.002,20.50%,0.1275,0.2016,0.2655,0.7345,207,6.9,361,12,50,1.7,0.9799,0.8725,Portuguese,Portuguese,Brazilian Portuguese,15.07,Medium,Unknown,Florianópolis,Unknown,No Overlap,Medium,Medium,Florianópolis,Rio de Janeiro,60,0
vi-VN,HnamLien_04_3013.wav,gemini_flash,gemini-2.5-flash,426,178.739,20.46%,0.1464,0.1901,0.259,0.741,383,7.7,253,5.1,376,7.6,0.9105,0.8574,Vietnamese,Vietnamese,Vietnamese,30.22,Long,Male,Hanoi,Youth,No Overlap,Medium,Low,Hanoi,Hanoi,99.47,0
pt-BR,Latam_POR_BR_145,assemblyai,universal,43,23.843,20.45%,0.1338,0.2027,0.2522,0.7478,60,5.2,166,14.4,10,0.9,0.9711,0.8662,Portuguese,Portuguese,Brazilian Portuguese,10.17,Medium,Unknown,Mogi das Cruzes,Unknown,No Overlap,Medium,Medium,Mogi das Cruzes,Rio Claro,148,0
es-VE,Latam_SPA_VE_036,microsoft,ConversationTranscriber,60,314.924,20.41%,0.1406,0.2022,0.2973,0.7027,214,10.8,171,8.6,19,1,0.8958,0.8594,Spanish,Spanish,Venezuelan Spanish,10.78,Medium,Unknown,Caracas,Unknown,No Overlap,Medium,Medium,Caracas,Turmero,86,0
vi-VN,HieuTu_09_1510.wav,openai_gpt4o_mini,gpt-4o-mini-transcribe,369,97.072,20.38%,0.108,0.1995,0.3376,0.6624,607,17,43,1.2,77,2.2,0.8169,0.8934,Vietnamese,Vietnamese,Vietnamese,15.17,Medium,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,5.5,0
pt-BR,Latam_POR_BR_028,gladia,gladia-v2,701,26.754,20.36%,0.1336,0.2009,0.2599,0.7401,164,6.3,332,12.7,35,1.3,0.8678,0.8664,Portuguese,Portuguese,Brazilian Portuguese,15.22,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Medium,High,Rio de Janeiro,São João da Boa Vista,93,0
es-VE,Latam_SPA_VE_032,aws_transcribe,aws-transcribe,72,181.515,20.31%,0.1587,0.2025,0.2452,0.7548,82,4.5,285,15.6,5,0.3,0.9224,0.8413,Spanish,Spanish,Venezuelan Spanish,10.28,Medium,Unknown,Turmero,Unknown,No Overlap,Medium,High,Turmero,Caracas,84,0
pt-BR,Latam_POR_BR_024,deepgram,nova-3,152,16.309,20.21%,0.1242,0.198,0.2917,0.7083,321,10.7,225,7.5,62,2.1,0.876,0.8758,Portuguese,Portuguese,Brazilian Portuguese,15.05,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Medium,Medium,Rio de Janeiro,Rio de Janeiro,88,0
es-VE,Latam_SPA_VE_032,openai_gpt4o,gpt-4o-transcribe,101,39.871,20.14%,0.1388,0.2,0.2544,0.7456,106,5.8,250,13.6,13,0.7,0.9525,0.8612,Spanish,Spanish,Venezuelan Spanish,10.28,Medium,Unknown,Turmero,Unknown,No Overlap,Medium,High,Turmero,Caracas,84,0
pt-BR,Latam_POR_BR_299,gladia,gladia-v2,519,26.466,20.08%,0.1236,0.1981,0.2833,0.7167,189,9.5,182,9.2,27,1.4,0.9764,0.8764,Portuguese,Portuguese,Brazilian Portuguese,14.75,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Medium,Medium,Rio de Janeiro,Marília,105,0
pt-BR,Latam_POR_BR_308,soniox,stt-async-v4,142,59.141,19.99%,0.1164,0.1972,0.2784,0.7216,302,9,320,9.6,47,1.4,0.9753,0.8836,Portuguese,Portuguese,Brazilian Portuguese,20.25,Long,Unknown,Rio de Janeiro,Unknown,No Overlap,High,Medium,Rio de Janeiro,Lauro de freitas,161,0
es-PE,Latam_SPA_PE_065,gladia,gladia-v2,440,37.226,19.78%,0.1509,0.1969,0.2336,0.7664,101,3.8,414,15.5,12,0.5,0.9532,0.8491,Spanish,Spanish,Peruvian Spanish,15.27,Medium,Unknown,Trujillo,Unknown,No Overlap,Medium,Medium,Trujillo,Lima,61,0
es-VE,Latam_SPA_VE_036,openai_gpt4o_mini,gpt-4o-mini-transcribe,104,43.644,19.76%,0.1401,0.1947,0.2688,0.7312,161,8.1,201,10.2,29,1.5,0.9335,0.8599,Spanish,Spanish,Venezuelan Spanish,10.78,Medium,Unknown,Caracas,Unknown,No Overlap,Medium,Medium,Caracas,Turmero,86,0
pt-BR,Latam_POR_BR_217,deepgram,nova-3,147,14.705,19.71%,0.1242,0.1942,0.2779,0.7221,287,9.4,271,8.8,47,1.5,0.9684,0.8758,Portuguese,Portuguese,Brazilian Portuguese,15.17,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Low,High,Rio de Janeiro,Florianópolis,56,0
es-VE,Latam_SPA_VE_038,microsoft,ConversationTranscriber,63,378.583,19.68%,0.1244,0.1938,0.2829,0.7171,254,10,206,8.1,38,1.5,0.8714,0.8756,Spanish,Spanish,Venezuelan Spanish,12.95,Medium,Unknown,Caracas,Unknown,No Overlap,Medium,Medium,Caracas,Turmero,91,0
pt-BR,Latam_POR_BR_046,assemblyai,universal,50,68.615,19.65%,0.1213,0.1949,0.2374,0.7626,196,4.4,641,14.4,37,0.8,0.9731,0.8787,Portuguese,Portuguese,Brazilian Portuguese,31,Long,Unknown,São Paulo,Unknown,No Overlap,High,Medium,São Paulo,Lauro de freitas,223,0
pt-BR,Latam_POR_BR_046,openai_gpt4o_mini,gpt-4o-mini-transcribe,415,125.776,19.65%,0.1119,0.1931,0.2482,0.7518,258,5.8,538,12.1,78,1.8,0.9731,0.8881,Portuguese,Portuguese,Brazilian Portuguese,31,Long,Unknown,São Paulo,Unknown,No Overlap,High,Medium,São Paulo,Lauro de freitas,223,0
vi-VN,HnamLien_04_3013.wav,aws_transcribe,aws-transcribe,125,137.517,19.63%,0.1431,0.1827,0.2473,0.7527,356,7.2,246,5,369,7.5,0.9234,0.8605,Vietnamese,Vietnamese,Vietnamese,30.22,Long,Male,Hanoi,Youth,No Overlap,Medium,Low,Hanoi,Hanoi,99.47,0
es-VE,Latam_SPA_VE_038,gemini_flash,gemini-2.5-flash,133,77.956,19.56%,0.1407,0.1896,0.2589,0.7411,191,7.5,224,8.9,80,3.2,0.9754,0.8593,Spanish,Spanish,Venezuelan Spanish,12.95,Medium,Unknown,Caracas,Unknown,No Overlap,Medium,Medium,Caracas,Turmero,91,0
vi-VN,ThanhHoa_02_2500.wav,gladia,gladia-v2,643,190.571,19.56%,0.1436,0.1903,0.2837,0.7163,392,10.7,222,6.1,103,2.8,0.9524,0.8564,Vietnamese,Vietnamese,Vietnamese,25,Long,Male,Hanoi,Youth,No Overlap,Medium,Low,Hanoi,Hanoi,74.17,0
vi-VN,HnamLien_04_3013.wav,gemini_pro,gemini-2.5-pro,194,179.318,19.43%,0.1442,0.1808,0.243,0.757,340,6.9,254,5.1,367,7.4,0.9302,0.8594,Vietnamese,Vietnamese,Vietnamese,30.22,Long,Male,Hanoi,Youth,No Overlap,Medium,Low,Hanoi,Hanoi,99.47,0
pt-BR,Latam_POR_BR_308,deepgram,nova-3,296,22.311,19.37%,0.1121,0.1912,0.293,0.707,392,11.7,213,6.4,43,1.3,0.9802,0.8879,Portuguese,Portuguese,Brazilian Portuguese,20.25,Long,Unknown,Rio de Janeiro,Unknown,No Overlap,High,Medium,Rio de Janeiro,Lauro de freitas,161,0
vi-VN,ThaoLe_04_4903.wav,gladia,gladia-v2,1450,199.923,19.37%,0.1191,0.1864,0.3017,0.6983,1621,13.9,181,1.6,455,3.9,0.9902,0.8834,Vietnamese,Vietnamese,Vietnamese,49.05,Long,Female,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,45.77,0
pt-BR,Latam_POR_BR_275,microsoft,ConversationTranscriber,157,443.501,19.35%,0.1015,0.1908,0.2877,0.7123,240,11.1,149,6.9,31,1.4,0.9525,0.8985,Portuguese,Portuguese,Brazilian Portuguese,15.22,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,High,Medium,Rio de Janeiro,Lauro de freitas,186,0
pt-BR,Latam_POR_BR_046,openai_gpt4o,gpt-4o-transcribe,383,109.615,19.29%,0.1109,0.1902,0.2433,0.7567,249,5.6,544,12.2,65,1.5,0.9731,0.8891,Portuguese,Portuguese,Brazilian Portuguese,31,Long,Unknown,São Paulo,Unknown,No Overlap,High,Medium,São Paulo,Lauro de freitas,223,0
pt-BR,Latam_POR_BR_279,soniox,stt-async-v4,39,47.158,19.19%,0.1328,0.1908,0.2195,0.7805,75,2.9,405,15.7,15,0.6,0.9316,0.8672,Portuguese,Portuguese,Brazilian Portuguese,15.15,Medium,Unknown,Rio Claro,Unknown,No Overlap,Low,Medium,Rio Claro,Florianópolis,55,0
pt-BR,Latam_POR_BR_145,speechmatics,speechmatics-batch,41,22.09,19.15%,0.1103,0.19,0.2556,0.7444,82,7.1,130,11.3,9,0.8,0.9678,0.8897,Portuguese,Portuguese,Brazilian Portuguese,10.17,Medium,Unknown,Mogi das Cruzes,Unknown,No Overlap,Medium,Medium,Mogi das Cruzes,Rio Claro,148,0
pt-BR,Latam_POR_BR_275,deepgram,nova-3,248,13.339,18.94%,0.1102,0.1873,0.2808,0.7192,230,10.6,157,7.2,24,1.1,0.9837,0.8898,Portuguese,Portuguese,Brazilian Portuguese,15.22,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,High,Medium,Rio de Janeiro,Lauro de freitas,186,0
pt-BR,Latam_POR_BR_273,gladia,gladia-v2,768,28.466,18.93%,0.1221,0.1874,0.2426,0.7574,204,5.9,421,12.1,35,1,0.9885,0.8779,Portuguese,Portuguese,Brazilian Portuguese,21.67,Long,Unknown,São Paulo,Unknown,No Overlap,Medium,Medium,São Paulo,Rio de Janeiro,66,0
pt-BR,Latam_POR_BR_102,openai_gpt4o,gpt-4o-transcribe,132,42.973,18.91%,0.109,0.185,0.239,0.761,86,5.7,168,11.1,33,2.2,0.9737,0.891,Portuguese,Portuguese,Brazilian Portuguese,10.17,Medium,Unknown,são paulo,Unknown,No Overlap,Medium,Medium,são paulo,Guarulhos,66,0
pt-BR,Latam_POR_BR_102,openai_gpt4o_mini,gpt-4o-mini-transcribe,132,33.56,18.91%,0.109,0.185,0.239,0.761,86,5.7,168,11.1,33,2.2,0.9737,0.891,Portuguese,Portuguese,Brazilian Portuguese,10.17,Medium,Unknown,são paulo,Unknown,No Overlap,Medium,Medium,são paulo,Guarulhos,66,0
pt-BR,Latam_POR_BR_273,openai_gpt4o_mini,gpt-4o-mini-transcribe,451,76.755,18.82%,0.1177,0.1866,0.2355,0.7645,179,5.1,448,12.9,29,0.8,0.9881,0.8823,Portuguese,Portuguese,Brazilian Portuguese,21.67,Long,Unknown,São Paulo,Unknown,No Overlap,Medium,Medium,São Paulo,Rio de Janeiro,66,0
pt-BR,Latam_POR_BR_208,gladia,gladia-v2,146,31.546,18.78%,0.1405,0.1851,0.2251,0.7749,28,4.1,91,13.2,10,1.5,0.9724,0.8595,Portuguese,Portuguese,Brazilian Portuguese,10.2,Medium,Unknown,Jacareí,Unknown,No Overlap,High,Low,Jacareí,Jacareí,290,0
vi-VN,HnamLien_04_3013.wav,openai_gpt4o_mini,gpt-4o-mini-transcribe,707,142.7,18.68%,0.1543,0.1735,0.2132,0.7868,198,4,346,7,380,7.7,0.9802,0.8472,Vietnamese,Vietnamese,Vietnamese,30.22,Long,Male,Hanoi,Youth,No Overlap,Medium,Low,Hanoi,Hanoi,99.47,0
pt-BR,Latam_POR_BR_217,soniox,stt-async-v4,152,46.714,18.64%,0.1137,0.183,0.242,0.758,193,6.3,322,10.5,57,1.9,0.9526,0.8863,Portuguese,Portuguese,Brazilian Portuguese,15.17,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Low,High,Rio de Janeiro,Florianópolis,56,0
vi-VN,HnamLien_04_3013.wav,soniox,stt-async-v4,44,120.041,18.58%,0.1399,0.1728,0.228,0.772,297,6,251,5.1,371,7.5,0.9159,0.8633,Vietnamese,Vietnamese,Vietnamese,30.22,Long,Male,Hanoi,Youth,No Overlap,Medium,Low,Hanoi,Hanoi,99.47,0
pt-BR,Latam_POR_BR_193,openai_gpt4o,gpt-4o-transcribe,381,66.541,18.57%,0.1157,0.1827,0.2362,0.7638,170,5.6,340,11.3,50,1.7,0.9778,0.8843,Portuguese,Portuguese,Brazilian Portuguese,15.07,Medium,Unknown,Florianópolis,Unknown,No Overlap,Medium,Medium,Florianópolis,Rio de Janeiro,60,0
pt-BR,Latam_POR_BR_193,openai_gpt4o_mini,gpt-4o-mini-transcribe,381,61.2,18.57%,0.1157,0.1827,0.2362,0.7638,170,5.6,340,11.3,50,1.7,0.9778,0.8843,Portuguese,Portuguese,Brazilian Portuguese,15.07,Medium,Unknown,Florianópolis,Unknown,No Overlap,Medium,Medium,Florianópolis,Rio de Janeiro,60,0
vi-VN,PhongThanh_16_3000,gladia,gladia-v2,1076,186.408,18.41%,0.1114,0.1832,0.298,0.702,869,13.4,294,4.5,31,0.5,0.9412,0.8886,Vietnamese,Vietnamese,Vietnamese,30,Long,Male,Hanoi,Youth,No Overlap,No Gap,Low,Hanoi,Hanoi,0,0
pt-BR,Latam_POR_BR_273,openai_gpt4o,gpt-4o-transcribe,523,93.304,18.39%,0.1153,0.1823,0.2304,0.7696,176,5,435,12.5,30,0.9,0.9881,0.8847,Portuguese,Portuguese,Brazilian Portuguese,21.67,Long,Unknown,São Paulo,Unknown,No Overlap,Medium,Medium,São Paulo,Rio de Janeiro,66,0
pt-BR,Latam_POR_BR_275,speechmatics,speechmatics-batch,78,35.212,18.39%,0.1049,0.1826,0.2481,0.7519,154,7.1,230,10.6,15,0.7,0.9835,0.8951,Portuguese,Portuguese,Brazilian Portuguese,15.22,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,High,Medium,Rio de Janeiro,Lauro de freitas,186,0
vi-VN,DatVu_02_1503.wav,openai_gpt4o,gpt-4o-transcribe,208,69.233,18.36%,0.1122,0.18,0.2824,0.7176,304,11.9,115,4.5,52,2,0.8997,0.8878,Vietnamese,Vietnamese,Vietnamese,15.05,Medium,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,42.29,0
pt-BR,Latam_POR_BR_193,aws_transcribe,aws-transcribe,97,76.409,18.31%,0.134,0.1797,0.2311,0.7689,162,5.4,334,11.1,56,1.9,0.9697,0.866,Portuguese,Portuguese,Brazilian Portuguese,15.07,Medium,Unknown,Florianópolis,Unknown,No Overlap,Medium,Medium,Florianópolis,Rio de Janeiro,60,0
pt-BR,Latam_POR_BR_028,aws_transcribe,aws-transcribe,121,76.48,18.25%,0.1255,0.1799,0.2369,0.7631,158,6.1,280,10.7,38,1.5,0.8736,0.8745,Portuguese,Portuguese,Brazilian Portuguese,15.22,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Medium,High,Rio de Janeiro,São João da Boa Vista,93,0
es-VE,Latam_SPA_VE_032,openai_gpt4o_mini,gpt-4o-mini-transcribe,76,46.113,18.23%,0.1282,0.181,0.2307,0.7693,96,5.2,225,12.3,13,0.7,0.9525,0.8718,Spanish,Spanish,Venezuelan Spanish,10.28,Medium,Unknown,Turmero,Unknown,No Overlap,Medium,High,Turmero,Caracas,84,0
es-VE,Latam_SPA_VE_036,speechmatics,speechmatics-batch,61,17.786,18.14%,0.1272,0.1801,0.2583,0.7417,171,8.6,174,8.8,14,0.7,0.8975,0.8728,Spanish,Spanish,Venezuelan Spanish,10.78,Medium,Unknown,Caracas,Unknown,No Overlap,Medium,Medium,Caracas,Turmero,86,0
es-VE,Latam_SPA_VE_031,openai_gpt4o_mini,gpt-4o-mini-transcribe,97,47.134,18.13%,0.1172,0.1795,0.2448,0.7552,125,7.1,179,10.1,17,1,0.8127,0.8828,Spanish,Spanish,Venezuelan Spanish,10.38,Medium,Unknown,caracas,Unknown,No Overlap,Medium,Medium,caracas,Caracas,100,0
vi-VN,ThaoLe_03_2955.wav,speechmatics,speechmatics-batch,59,112.957,18.13%,0.1116,0.1747,0.2799,0.7201,909,12.5,136,1.9,278,3.8,0.8856,0.8907,Vietnamese,Vietnamese,Vietnamese,29.92,Long,Female,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,20.37,0
pt-BR,Latam_POR_BR_145,microsoft,ConversationTranscriber,124,292.863,18.11%,0.0959,0.1785,0.269,0.731,118,10.2,74,6.4,17,1.5,0.9728,0.9041,Portuguese,Portuguese,Brazilian Portuguese,10.17,Medium,Unknown,Mogi das Cruzes,Unknown,No Overlap,Medium,Medium,Mogi das Cruzes,Rio Claro,148,0
pt-BR,Latam_POR_BR_193,deepgram,nova-3,128,13.302,18.01%,0.1055,0.1762,0.2574,0.7426,273,9.1,204,6.8,66,2.2,0.9824,0.8945,Portuguese,Portuguese,Brazilian Portuguese,15.07,Medium,Unknown,Florianópolis,Unknown,No Overlap,Medium,Medium,Florianópolis,Rio de Janeiro,60,0
pt-BR,Latam_POR_BR_193,soniox,stt-async-v4,110,53.37,18.01%,0.1091,0.177,0.2352,0.7648,187,6.2,303,10,53,1.8,0.9452,0.8909,Portuguese,Portuguese,Brazilian Portuguese,15.07,Medium,Unknown,Florianópolis,Unknown,No Overlap,Medium,Medium,Florianópolis,Rio de Janeiro,60,0
es-VE,Latam_SPA_VE_036,openai_gpt4o,gpt-4o-transcribe,111,42.342,17.99%,0.1219,0.1778,0.2465,0.7535,148,7.5,185,9.3,23,1.2,0.9274,0.8781,Spanish,Spanish,Venezuelan Spanish,10.78,Medium,Unknown,Caracas,Unknown,No Overlap,Medium,Medium,Caracas,Turmero,86,0
pt-BR,Latam_POR_BR_279,gemini_flash,gemini-2.5-flash,106,150.285,17.98%,0.1373,0.1646,0.21,0.79,127,4.9,98,3.8,239,9.3,0.9239,0.8709,Portuguese,Portuguese,Brazilian Portuguese,15.15,Medium,Unknown,Rio Claro,Unknown,No Overlap,Low,Medium,Rio Claro,Florianópolis,55,0
vi-VN,DatVu_02_1503.wav,gemini_flash,gemini-2.5-flash,199,81.972,17.97%,0.1056,0.1788,0.2842,0.7158,311,12.1,137,5.3,13,0.5,0.8937,0.8944,Vietnamese,Vietnamese,Vietnamese,15.05,Medium,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,42.29,0
vi-VN,ThaoLe_04_4903.wav,elevenlabs,scribe_v2,98,149.073,17.96%,0.1046,0.1718,0.2792,0.7208,1500,12.9,66,0.6,527,4.5,0.9892,0.8996,Vietnamese,Vietnamese,Vietnamese,49.05,Long,Female,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,45.77,0
pt-BR,Latam_POR_BR_275,aws_transcribe,aws-transcribe,150,76.375,17.93%,0.1143,0.1766,0.2526,0.7474,182,8.4,174,8,33,1.5,0.9089,0.8857,Portuguese,Portuguese,Brazilian Portuguese,15.22,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,High,Medium,Rio de Janeiro,Lauro de freitas,186,0
pt-BR,Latam_POR_BR_028,assemblyai,universal,135,34.824,17.75%,0.1114,0.1758,0.22,0.78,120,4.6,317,12.2,26,1,0.9058,0.8886,Portuguese,Portuguese,Brazilian Portuguese,15.22,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Medium,High,Rio de Janeiro,São João da Boa Vista,93,0
vi-VN,VinhThoan_01_1004.wav,gladia,gladia-v2,311,32.409,17.75%,0.1034,0.1766,0.2914,0.7086,265,13.4,76,3.8,10,0.5,0.9326,0.8966,Vietnamese,Vietnamese,Vietnamese,10.07,Medium,Mixed,Hanoi,Youth,No Overlap,No Gap,Low,Hanoi,Hanoi,0,0
es-VE,Latam_SPA_VE_031,speechmatics,speechmatics-batch,47,17.823,17.73%,0.1172,0.1749,0.2562,0.7438,160,9,130,7.3,24,1.4,0.876,0.8828,Spanish,Spanish,Venezuelan Spanish,10.38,Medium,Unknown,caracas,Unknown,No Overlap,Medium,Medium,caracas,Caracas,100,0
pt-BR,Latam_POR_BR_102,assemblyai,universal,29,23.698,17.72%,0.0984,0.1751,0.2258,0.7742,81,5.3,170,11.2,18,1.2,0.9716,0.9016,Portuguese,Portuguese,Brazilian Portuguese,10.17,Medium,Unknown,são paulo,Unknown,No Overlap,Medium,Medium,são paulo,Guarulhos,66,0
vi-VN,ThaoLe_04_4903.wav,deepgram,nova-3,179,29.322,17.69%,0.1027,0.1717,0.283,0.717,1538,13.2,171,1.5,353,3,0.9919,0.8988,Vietnamese,Vietnamese,Vietnamese,49.05,Long,Female,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,45.77,0
es-VE,Latam_SPA_VE_031,deepgram,nova-3,139,9.716,17.62%,0.1244,0.1743,0.2614,0.7386,173,9.8,120,6.8,19,1.1,0.884,0.8756,Spanish,Spanish,Venezuelan Spanish,10.38,Medium,Unknown,caracas,Unknown,No Overlap,Medium,Medium,caracas,Caracas,100,0
pt-BR,Latam_POR_BR_248,gladia,gladia-v2,612,45.145,17.61%,0.1155,0.1742,0.2227,0.7773,138,5.1,311,11.5,29,1.1,0.9762,0.8845,Portuguese,Portuguese,Brazilian Portuguese,15.48,Medium,Unknown,Rio Claro,Unknown,No Overlap,Low,Medium,Rio Claro,São Paulo,45,0
es-PE,Latam_SPA_PE_018,assemblyai,universal,15,25.1,17.54%,0.1138,0.1752,0.2044,0.7956,70,3,335,14.4,2,0.1,0.9462,0.8862,Spanish,Spanish,Peruvian Spanish,15.15,Medium,Unknown,Nuevo Chimbote,Unknown,No Overlap,Medium,Medium,Nuevo Chimbote,Trujillo,75,0
vi-VN,ThaoLe_04_4903.wav,gemini_pro,gemini-2.5-pro,108,302.392,17.43%,0.1028,0.1672,0.2725,0.7275,1460,12.5,81,0.7,490,4.2,0.9937,0.9007,Vietnamese,Vietnamese,Vietnamese,49.05,Long,Female,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,45.77,0
es-VE,Latam_SPA_VE_032,microsoft,ConversationTranscriber,64,298.975,17.41%,0.1089,0.1724,0.2389,0.7611,132,7.2,169,9.2,18,1,0.8713,0.8911,Spanish,Spanish,Venezuelan Spanish,10.28,Medium,Unknown,Turmero,Unknown,No Overlap,Medium,High,Turmero,Caracas,84,0
